OFFENSE_CODE,description,ucr_part,is_crime,rationale,reviewed
2670,HARASSMENT/ CRIMINAL HARASSMENT,Part Two,,Rewording of the pre-2019 description 'CRIMINAL HARASSMENT' (Part Two); same offense.,no
2671,VIOLATION - HARASSMENT PREVENTION ORDER,Part Two,true,"Analogous to restraining-order violations 2006/2007, which BPD labels Part Two.",no
2900,MIGRATED REPORT - AUTO LAW VIOLATION,Part Two,true,"Migrated record; BPD's category name places it in Part Two, matching BPD's labels for the same offense before 2019.",no
2905,VAL - VIOLATION OF AUTO LAW,Part Two,,Broadened from the pre-2019 'VAL - OPERATING WITHOUT LICENSE' (Part Two) to auto-law violations generally; BPD labels every VAL code Part Two.,no
2950,MIGRATED REPORT - MOTOR VEHICLE CRASH,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3000,MIGRATED REPORT - DEATH INVESTIGATION,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3005,SICK ASSIST,Part Three,false,"Analogous to 3006 'SICK/INJURED/MEDICAL - PERSON' (Part Three). Medical response, not an offense.",no
3100,MIGRATED REPORT - INVESTIGATE PROPERTY,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3108,FIRE REPORT,Part Three,,"Rewording of the pre-2019 description 'FIRE REPORT - HOUSE, BUILDING, ETC.' (Part Three); same offense.",no
3110,SERVICE TO OTHER AGENCY,Part Three,,Rewording of the pre-2019 description 'SERVICE TO OTHER PD OUTSIDE OF MA.' (Part Three); same offense.,no
3112,LANDLORD - TENANT,Part Three,,Rewording of the pre-2019 description 'LANDLORD - TENANT SERVICE' (Part Three); same offense.,no
3125,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),Part Three,,Rewording of the pre-2019 description 'WARRANT ARREST' (Part Three); same offense.,no
3126,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,Part Three,false,Sibling of 3125 'WARRANT ARREST' (Part Three). Serves an existing warrant; records no new offense.,no
3170,INTIMIDATING WITNESS,,true,"Part Three, but witness intimidation is a felony (MA c.268 s.13B).",no
3200,MIGRATED REPORT - INVESTIGATE PERSON,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3201,PROPERTY - LOST/ MISSING,Part Three,,Rewording of the pre-2019 description 'PROPERTY - LOST' (Part Three); same offense.,no
3300,MIGRATED REPORT - OTHER PART III,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3303,NOISY PARTY/RADIO-ARREST,,true,"Part Three, but the arrest implies an offense (disturbing the peace). Borderline; its no-arrest sibling 3304 stays non-crime.",no
3305,DRUNKENNESS,Part Three,false,CODE REUSED: before 2019 code 3305 was 'DEMONSTRATIONS/RIOT' (Part Three). Kept Part Three. Public drunkenness is not a crime in Massachusetts (decriminalised 1971; handled as protective custody under c.111B).,no
3350,MIGRATED REPORT - INJURED/MEDICAL/SICK ASSIST,Part Three,false,"Migrated record; BPD's category name places it in Part Three, matching BPD's labels for the same offense before 2019.",no
3402,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",Part Three,,Rewording of the pre-2019 description 'ANIMAL INCIDENTS' (Part Three); same offense.,no
3820,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,Part Three,,Rewording of the pre-2019 description 'M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY' (Part Three); same offense.,no
3830,M/V - LEAVING SCENE - PERSONAL INJURY,,true,"Part Three, but leaving the scene is a crime (MA c.90 s.24).",no
3831,M/V - LEAVING SCENE - PROPERTY DAMAGE,,true,"Part Three, but leaving the scene is a crime (MA c.90 s.24).",no
99999,EVIDENCE TRACKER INCIDENTS,Other,false,"Administrative evidence-tracking record, not an incident type.",no
